lodIDN,duplicate_Check,Identifier,Label,GUPRI,Status,Globally Unique,Unique,Persistent,Resolution Topology,Resolution Type,Resolvable,API,Authority,Availability Monitored,Count,Countries,Coverage,Description,Disciplinary,Entity,Identifier Type,ISO,Managers,MetaResolvers,MPA,Namespace Type,Number of Resolvers,Provider,Recommended By,Scheme,Standard,Start Date
pid_graph:7D9E4E44,,Magnet,Magnet,-Upři.png,Established,Yes,Namespace Unique,"Implicit,Yes",Centralised,No resolver,Indirect,,"W3C DID Working Group,World Wide Web Consortium (W3C),Decentralised,Bitzi,Internet Corporation for Assigned Names and Numbers (ICANN)",No,1000000,,Global,"Magnet is a URI scheme that defines the format of magnet links, a de facto standard for identifying files (URN) by their content, via cryptographic hash value rather than by their location.",Generic,,Allocated,,1,No,,Static Prefix,1,Decentralised,,No Formal Scheme,No Formal Standard,2002
pid_graph:A514F388,,CONFIDENT,CONFIDENT,GUPři.png,Emerging,Yes,Globally Unique,Explicit,Cascading,No resolver,Direct,Yes,DONA,, ,,Global,ConfIDent makes conferences and other formats of scientific events persistently accessible in high quality.,Generic,"Academic Events, Conferences",Allocated,,1,No,International DOI Foundation,Static Prefix,1,DataCite,,Digital Object Identifier,ISO 26324:2022,2022
pid_graph:2EAAEA03,,IdRef ID/SUDOC,IdRef ID/SUDOC,-üpRi.png,Established,No,Locally Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,ABES (Agence Bibliographique de l'Enseignement Supérieur),No,10000000,,France,"Identifier for authority control in the French collaborative library catalog (see 
also P1025). Format: 8 digits followed by a digit or ""X""",Generic,Authority Control,Allocated,,1,No,,No Prefix,3,ABES,,IdRef ID Scheme,IdRef – Identifiers and References for the ESR,1998
pid_graph:15BEDB40,,ARK,ARK,GUPRi.png,Established,Yes,Globally Unique,Explicit,Distributed,Resolver,Direct,Yes,ARK Alliance Technical Working Group,Yes,8200000000,"[""Netherlands""]",Global,"Multi-purpose persistent identifier for information objects of any type. Archival Resource Keys (ARKs) serve as persistent identifiers, or stable, trusted references for information objects. Among other things, they aim to be web addresses (URLs) that don’t return 404 Page Not Found errors. The ARK Alliance is an open global community supporting the ARK infrastructure on behalf of research and scholarship. End users, especially researchers, rely on ARKs for long term access to the global scientific and cultural record. Since 2001 some 8.2 billion ARKs have been created by over 1000 organizations — libraries, data centers, archives, museums, publishers, government agencies, and vendors. They identify anything digital, physical, or abstract. ARKs are open, mainstream, non-paywalled, decentralized persistent identifiers that can be created by an organization as soon as it is registered with a NAAN (Name Assigning Authority Number). Once registered, an ARK organization can create unlimited numbers of ARKs and publicize them via the n2t.net global resolver or via their own local resolver.",Generic,"Research Outputs,Samples",Allocated,NLD,1359,"Yes,No",,Semantic Prefix,2,ARK Alliance,1,ARK Scheme,Internal ARK Alliance Standard,2001
pid_graph:03A715EA,,arXiv,arXiv,-UpRi.png,Established,Yes,Namespace Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,arXiv.org,Yes,2340117,,Global,"Article identifier scheme used by arXiv. arXiv is an e-print service in the fields of physics, mathematics, non-linear science, computer science, and quantitative biology.",Generic,Publications,Allocated,,1,"No,Yes",,No Prefix,2,arXiv.org,,ArXiv Scheme,arXiv Internal Standard,1991
pid_graph:68ADD24A,,URN:NBN:AT,URN:NBN:AT,-UPRi.png,Established,Yes,Namespace Unique,Explicit,Decentralised,Resolver,Direct,,Austrian Library Network,,467000,,Austria,"National Bibliography Number (NBN) is a group of publication identifier systems used by national libraries in countries such as Germany, Italy, Finland, Norway, The Netherlands and Sweden",Generic,Research Outputs,Allocated,,1,,,Static Prefix,,Austrian National Library,,URN:NBN,RFC 8458: ‘Using National Bibliography Numbers as Uniform Resource Name’,2001
pid_graph:F00A6677,,Bitbucket,Bitbucket,GUpRi.png,Established,Yes,Globally Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,Bitbucket,No,50000000,,Global,Bitbucket is a Git-based source code repository hosting service owned by Atlassian.,Generic,"(Source) Code,Code Fragment,Research Software,Code Repository",URL,,1,Yes,,No Prefix,1,Bitbucket,,Uniform Resource Locator,RFC 2396: Uniform Resource Identifiers (URI): Generic Syntax,2008
pid_graph:208E9775,,URL,URL,GUṕRi.png,Established,Yes,Globally Unique,"Implicit, No",Cascading,Resolver,Direct,,"Bitzi,Internet Corporation for Assigned Names and Numbers (ICANN),W3C DID Working Group,Decentralised,World Wide Web Consortium (W3C)",, ,,Global,"A uniform resource locator (URL), colloquially known as an address on the Web, is a reference to a resource that specifies its location on a computer network and a mechanism for retrieving it",Generic,,URL,,1,,,Semantic Prefix,,Decentralised,,Uniform Resource Locator,RFC 2396: Uniform Resource Identifiers (URI): Generic Syntax,1994
pid_graph:F12AD34E1,,CURIE,CURIE,-UPri.png,Established,Yes,Namespace Unique,Explicit,Federated,Resolver,Indirect,,"Bitzi,Internet Corporation for Assigned Names and Numbers (ICANN),World Wide Web Consortium (W3C),Decentralised,W3C DID Working Group",,1000000000,,Global,A data type whose purpose is specifically to allow for the definition of scoped names that map to URIs,Generic,Concepts,Allocated,,1,Yes,,Static Prefix,,Decentralised,,CURIE Syntax 1.0,CURIE Syntax 1.0,2010
pid_graph:B7EB7BAA,,COL,COL,-UPRi.png,Established,Yes,Namespace Unique,Explicit,Centralised,Resolver,Direct,Yes,Catalogue of Life Secretariat,No,4463574,,Global,Identifier of a taxon or synonym in the Catalogue of Life,Life Sciences,Taxon,Allocated,,1,"Yes,No",,No Prefix,2,Catalogue of Life (COL),,Catalogue of Life ID,LSID (Life Science Identifier),2001
pid_graph:C6B514CF,,HAL article ID,HAL article ID,-UPRi.png,Established,Yes,Namespace Unique,Explicit,Centralised,Resolver,Direct,Yes,Centre for Direct Scientific Communication (CCSD),No,5200000,,France,identifier for an article in the HAL (Hyper Articles en Ligne) open access repository,Generic,Research Outputs,Allocated,,1,No,,No Prefix,1,HAL (Hyper Articles en Ligne),,HAL Article Identifier Scheme,HAL Article Identifier Standard,2001
pid_graph:47118C40,,ResearcherID,ResearcherID,-üpRi.png,Established,No,Locally Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,Clarivate Analytics,No,500000,,Global,ResearcherID is an identifying system for scientific authors. The system was introduced in January 2008 by Thomson Reuters Corporation.,Generic,,Allocated,,1,No,,No Prefix,1,Clarivate Analytics,,Researcher ID Scheme,ResearcherID Standard,2008
pid_graph:AC2CDAA9,,WOS,WOS,-UpRi.png,Established,Yes,Namespace Unique,"Implicit,Yes",Centralised,Resolver,Direct,,Clarivate Analytics,No,155000000,"[""Korea""]",Global,Unique academic work identifier assigned in Web of Science bibliographic database (Web of Science Core Collection only and do not include WOS: prefix),Generic,"Researcher,Person",Allocated,KOR,1,Yes,,No Prefix,1,Clarivate Analytics,1,WOS accession number,Internal WOS Accession Number Standard,1997
pid_graph:77FF1083,,GND,GND,-UpRi.png,Established,Yes,Namespace Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,"Committee for Library Standards,German National Library",No,20000000,"[""Germany""]",Germany,Identifier for the German National Library,Generic,"Cultural Objects,Researcher,Cultural Collections,Organisations,Cultural Holdings",Allocated,DEU,1,"No,Yes",,No Prefix,6,German National Library (DNB),1,Integrated Authority File ID Scheme,ISO 15511:2019,2012
pid_graph:9C827E94,,OpenURL,OpenURL,GUpri.png,Established,Yes,Globally Unique,"Implicit,Yes",Distributed,Resolver,Indirect,Yes,Decentralised,No,1000000000,,Global,"An OpenURL is similar to a web address, but instead of referring to a physical website, it refers to an article, book, patent, or other resource within a website",Generic,,Allocated,,1,No,,Static Prefix,1,National Information Standards Organization (NISO),,Open Uniform Resource Locator Scheme,ANSI/NISO Z39.88-2004 The OpenURL Framework for Context-Sensitive Services,1990
pid_graph:F12AD34E,,URI,URI,GUṕri.png,Established,Yes,Globally Unique,"Implicit, No",Cascading,Resolver,Indirect,,"Decentralised,W3C DID Working Group,Internet Corporation for Assigned Names and Numbers (ICANN),Bitzi,World Wide Web Consortium (W3C)",, ,"[""Finland"", ""Netherlands""]",Global,String of characters used to identify a name of a resource on a network such as the internet,Generic,"Datasets,Samples,Data types,Concepts,Research Outputs",Allocated,"FIN,NLD",1,,,No Prefix,,Decentralised,2,IRI (Internationalised Resource Identifier),RFC 3987: Internationalized Resource Identifiers (IRIs),1994
pid_graph:5CEA29B9,,GRID,GRID,-UpRi.png,Established,Yes,Namespace Unique,"Implicit,Yes",Centralised,Resolver,Direct,,Digital Science,No,100000,"[""New Zealand""]",Global,"International coverage of the world's leading research organisations, indexing 92% of funding allocated globally.",Generic,Organisations,Allocated,NZL,1,Yes,,Static Prefix,1,Global Research Identifier Database (GRID),1,GRID Scheme,GRID Standard,2015
pid_graph:998B7874,,DCO-ID,DCO-ID,GUṕRi.png,Discontinued,Yes,Globally Unique,"Implicit, No",Discontinued,Resolver,Not Resolvable,Yes,DONA,No,10000,,Global,Digital object registration includes DCO-ID generation based on the global Handle System infrastructure and metadata collection using VIVO.,Earth and Environmental Science ,Research Outputs,Allocated,,1,No,Corporation for National Research Initiatives (CNRI),No Prefix,1,Deep Carbon Observatory,,Handle System,Handle System Protocol (ver 2.1) Specification,2014
pid_graph:3E6F3EE6,,DOI,DOI,GUPRi.png,Established,Yes,Globally Unique,Explicit,Cascaded,Resolver,Direct,Yes,DONA,No,300000000,"[""Australia"", ""Netherlands""]",Global,The Digital Object Identifier System is for identifying content objects in the digital environment.,Generic,"Specimens,Instruments,Software,Documents (Text),Research Outputs,Infrastructures,Annotations,Research Grants,Samples,Collection Description,Digital Specimen,Digital Collection",Allocated,"AUS,NLD",11,"Yes,No",International DOI Foundation,Semantic Prefix,15,HAND,2,"Digital Object Identifier, Handle System",ISO 26324:2022,2000
pid_graph:3E6F3EE61,,DOI: Crossref,DOI: Crossref,GUPRi.png,Established,Yes,Globally Unique,Explicit,Cascaded,Resolver,Direct,,DONA,No,200000000,"[""Australia"", ""Canada"", ""Czechia"", ""Germany"", ""Finland"", ""UK"", ""Korea"", ""Netherlands""]",Global,One of the official Digital Object Identifier Registration Agencies of the International DOI Foundation,Generic,Publications,Allocated,"AUS,CAN,CZE,DEU,FIN,GBR,KOR,NLD",22000,Yes,International DOI Foundation,Semantic Prefix,1,CrossRef,8,"Digital Object Identifier, Handle System",ISO 26324:2022,2000
pid_graph:3E6F3EE62,,DOI: DataCite,DOI: DataCite,GUPRi.png,Established,Yes,Globally Unique,Explicit,Cascaded,Resolver,Direct,,DONA,No,50000000,"[""Australia"", ""Canada"", ""Czechia"", ""Germany"", ""Finland"", ""UK"", ""Korea"", ""Netherlands"", ""New Zealand""]",Global,"The global consortium DataCite was established in 2009 to overcome the challenges of data citation. The aim of the consortium is to establish easy access to data, to increase the acceptance of data publication and to support data archiving.",Generic,"Sound,Image,Journal,OutputManagementPlan,JournalArticle,Book,DataPaper,Workflow,Preprint,PhysicalObject,Standard,ConferencePaper,Software,Report,Collection Description,BookChapter,PeerReview,InteractiveResource,Instruments,Dissertation,Model,ComputationalNotebook,Service,Publications,Event,Audiovisual,ConferenceProceeding,Datasets,Academic Conferences,Documents (Text)",Allocated,"AUS,CAN,CZE,DEU,FIN,GBR,KOR,NLD,NZL",3248,Yes,International DOI Foundation,Semantic Prefix,1,DataCite,9,"Digital Object Identifier, Handle System",ISO 26324:2022,2009
pid_graph:3FA62023,,ePIC,ePIC,GUPRi.png,Established,Yes,Globally Unique,Explicit,Cascaded,Resolver,Direct,Yes,DONA,No,100000,,Global,"The ePIC system is one of several MPAs based on the Handle System, and offers EU-based mirroring and resolution of handles.",Generic,Datasets,Allocated,,81,Yes,PID Consortium,Semantic Prefix,1,CLARIN,,Handle System,Handle System Protocol (ver 2.1) Specification,2009
pid_graph:73B0A225,,Handle,Handle,GUPRi.png,Established,Yes,Globally Unique,Explicit,Cascaded,Resolver,Direct,Yes,DONA,No,1000000000,"[""Australia"", ""Netherlands""]",Global,"Handle System identifier, which is a superset of the DOI",Generic,"Research Outputs,Infrastructures,Instruments,Datasets,Publications",Allocated,"AUS,NLD",1,No,,No Prefix,1,Corporation for National Research Initiatives (CNRI),2,Handle System,Handle System Protocol (ver 2.1) Specification,1994
pid_graph:0E85921A,,IGSN,IGSN,GUPRi.png,Established,Yes,Globally Unique,Explicit,Cascaded,Resolver,Direct,Yes,DONA,No,11000000,"[""Australia"", ""Germany"", ""Netherlands""]",Global,IGSN is a globally unique and persistent identifier for material samples and specimens. IGSNs are obtained from IGSN e.V. Agents.,Generic,Samples,Allocated,"AUS,DEU,NLD",32,Yes,International DOI Foundation,Static Prefix,1,MARUM Center for Marine Environmental Studies at University of Bremen,3,"Digital Object Identifier, Handle System",ISO 26324:2022,2008
pid_graph:152D52742,,PIDINST,PIDINST,GUPRi.png,Emerging,Yes,Globally Unique,Explicit,Cascading,Resolver,Direct,,DONA,,10000,,Global,"PIDINST is a persistent identifier scheme designed to uniquely and permanently identify scientific instruments, such as sensors, spectrometers, microscopes, and data collection platforms. It enables instruments to be referenced in datasets, publications, and metadata to support transparency, reproducibility, and provenance tracking in research.",Generic,Instruments,Allocated,,1,,,Static Prefix,,B2INST,,Handle System,Handle System Protocol (ver 2.1) Specification,2023
pid_graph:0D27745F,,RAID,RAID,GUPRi.png,Emerging,Yes,Globally Unique,Explicit,Cascaded,Resolver,Direct,,DONA,No,50000,"[""Australia"", ""Canada"", ""Germany"", ""Finland"", ""UK"", ""Netherlands""]",Global,A unique and persistent identifier for research projects,Generic,"Organisations,Research Activity",Allocated,"AUS,CAN,DEU,FIN,GBR,NLD",1,Yes,International DOI Foundation,No Prefix,1,RAID Australia,6,"Digital Object Identifier, Handle System",ISO 26324:2022,2018
pid_graph:BDE0B4B72,,DAI,DAI,-UPri.png,Established,Yes,Namespace Unique,Explicit,Discontinued,Resolver,Indirect,,Dutch Library Consortium (UKB),,1000000,"[""Netherlands""]",Netherlands,A unique number to all academic authors in the Netherlands as a form of authority control,Generic,Researcher,Allocated,NLD,1,,,No Prefix,,Royal Library of the Netherlands,1,International Standard Name Identifier,ISO 27729:2012,2009
pid_graph:7E709E594,,URN:NBN:NL,URN:NBN:NL,-UPRi.png,Established,Yes,Namespace Unique,Explicit,Decentralised,Resolver,Direct,Yes,Dutch Library Consortium (UKB),Yes,44400000,,Netherlands,"National Bibliography Number (NBN) is a group of publication identifier systems used by national libraries in countries such as Germany, Italy, Finland, Norway, The Netherlands and Sweden",Generic,Research Outputs,Allocated,,1,Yes,,Static Prefix,1,Royal Library of the Netherlands,,URN:NBN,RFC 8458: ‘Using National Bibliography Numbers as Uniform Resource Name’,1998
pid_graph:6081C2D5,,EIDR,EIDR,GUPRi.png,Established,Yes,Globally Unique,Explicit,Cascaded,Resolver,Direct,Yes,"Entertainment Identifier Registry Association (EIDR), DONA",No,1000000,,Global,"Identifier for a film or television work, edit or manifestation, in the Entertainment Identifier Registry",Generic,Creative Works,Allocated,,1,No,International DOI Foundation,Semantic Prefix,1,Entertainment Identifier Registry Association (EIDR),,Digital Object Identifier,ISO 26324:2022,2010
pid_graph:08EE6DB9,,OMID,OMID,-UpRi.png,Emerging,Yes,Namespace Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,Entertainment Identifier Registry Association (EIDR),No, ,,Global,"Every entity in OpenCitations Meta (https://opencitations.net/meta) is assigned persistent internal identifier called OpenCitations Meta Identifier (OMID). The OMID has structure [[entity_type_abbreviation]]/[[supplier_prefix]][[sequential_number]]. For example, the first journal article ever processed has OMID br/0601 (the full URI is https://w3id.org/oc/meta/br/0601), where br is the abbreviation of bibliographic resource, and 060 corresponds to the supplier prefix, helpful in recognising at a glance the index it belongs to (i.e., OpenCitations Meta). Finally, 1 indicates that this is the index's first bibliographic resource ever minted.",Generic,Research Outputs,Allocated,,1,Yes,,No Prefix,1,Entertainment Identifier Registry Association (EIDR),,EIDR ID scheme,RFC 4122,2022
pid_graph:152D52741,,PIC,PIC,-üpri.png,Established,No,Locally Unique,"Implicit,Yes",Centralised,Resolver,Indirect,,European Commission,,100000,"[""Finland""]",European Union,"The PIC is a unique identifier for your organisation that is used to track and manage participants in EU-funded programs, projects, and initiatives",Generic,Organisations,Allocated,FIN,1,,,No Prefix,,European Commission,1,PIC Scheme,PIC Standard,2013
pid_graph:C2BEAE03,,GeoNames ID,GeoNames ID,-üpRi.png,Established,No,Locally Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,GeoNames.org,No,25000000,,Global,Identifier in the GeoNames geographical database.,Generic,Geographic Features,Allocated,,1,No,,No Prefix,2,GeoNames.org,,GeoNames Scheme,GeoNames Identifier Standard,2006
pid_graph:7E709E592,,URN:NBN:DE,URN:NBN:DE,-UPRi.png,Established,Yes,Namespace Unique,Explicit,Decentralised,Resolver,Direct,Yes,"German National Library,Committee for Library Standards",No,50000000,,Germany,"National Bibliography Number (NBN) is a group of publication identifier systems used by national libraries in countries such as Germany, Italy, Finland, Norway, The Netherlands and Sweden",Generic,Research Outputs,Allocated,,1,Yes,,Static Prefix,1,German National Library (DNB),,URN:NBN,RFC 8458: ‘Using National Bibliography Numbers as Uniform Resource Name’,1998
pid_graph:C2BEAE031,,GePRIS,GePRIS,-üpri.png,Established,No,Locally Unique,"Implicit,Yes",Centralised,Resolver,Direct,,German Research Foundation (DFG),,200000,"[""Germany""]",Germany,"Identifies authors by the first 2-4 letters of their surname plus numbers (e.g. XX 1234 or YY 67) generated by Elektra, the DFG's internal administrative grant-processing procedure. This disambiguation is for DFG's internal processes only.",Generic,Organisations,Allocated,DEU,1,,,No Prefix,,German Research Foundation (DFG),1,GePRIS Scheme,GePRIS Standard,2000
pid_graph:4A58E4401,,GitHub,GitHub,-UpRi.png,Established,Yes,Namespace Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,"GitHub, Inc.",No,500000000,,Global,,Generic,"Code Repository,Code Fragment,(Source) Code",URL,,1,Yes,,No Prefix,1,"GitHub, Inc.",,Uniform Resource Locator,RFC 2396: Uniform Resource Identifiers (URI): Generic Syntax,2008
pid_graph:4A58E4402,,GitLab,GitLab,-UpRi.png,Established,Yes,Namespace Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,GitLab Inc.,No,100000000,,Global,,Generic,"Code Repository,(Source) Code,Research Software,Code Fragment",URL,,1,Yes,,No Prefix,1,GitLab Inc.,,Uniform Resource Locator,RFC 2396: Uniform Resource Identifiers (URI): Generic Syntax,2011
pid_graph:025992EB,,EAN13,EAN13,-UPRi.png,Established,Yes,Namespace Unique,Explicit,Centralised,Resolver,Direct,Yes,GS1,No,10000000000,,European Union,Standard describing a barcode symbology and numbering,Generic,Products,Allocated,,1,"Yes,No",,No Prefix,2,International Article Number (EAN),,European Article Number,GS1 General Specifications,1970
pid_graph:BFEB0A72,,UPC,UPC,GUpRi.png,Established,Yes,Globally Unique,"Implicit,Yes",Federated,Resolver,Direct,Yes,GS1,No,10000000000,,Global,Barcode symbology used for tracking trade items in stores,Generic,Products,Allocated,,1,No,,No Prefix,1,GS1,,Universal Product Code,GS1 General Specifications,1973
pid_graph:4EA08A5A,,URN:NBN:IT,URN:NBN:IT,-UPRi.png,Established,Yes,Namespace Unique,Explicit,Decentralised,Resolver,Direct,,ICCU - Istituto Centrale per il Catalogo Unico della Biblioteche Italiane per le informazioni bibliografiche,,170000,,Italy,"National Bibliography Number (NBN) is a group of publication identifier systems used by national libraries in countries such as Germany, Italy, Finland, Norway, The Netherlands and Sweden",Generic,Research Outputs,Allocated,,1,,,Static Prefix,,ICCU - Istituto Centrale per il Catalogo Unico della Biblioteche Italiane per le informazioni bibliografiche,,URN:NBN,RFC 8458: ‘Using National Bibliography Numbers as Uniform Resource Name’,2007
pid_graph:83FC72F3,,IMDb company ID,IMDb company ID,-üpRi.png,Established,No,Locally Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,IMDb,No,500000,,Global,D for a company or organization listed in the Internet Movie Database,Generic,Organisations,Allocated,,1,No,,Semantic Prefix,1,IMDb,,IMDB Company ID,IMDB Data Key Concepts,1990
pid_graph:DDB8E5B0,,IMDb name ID,IMDb name ID,GUpRi.png,Established,Yes,Globally Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,IMDb,No,8000000,,Global,ID that characterize a person on Internet Movie Database,Generic,Actors,Allocated,,1,No,,Semantic Prefix,1,IMDb,,IMDB Name ID,IMDB Data Key Concepts,1990
pid_graph:9D46195A,,IMDb title ID,IMDb title ID,-üpRi.png,Established,No,Locally Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,IMDb,No,7500000,,Global,ID that characterize a movie on Internet Movie Database,Generic,Creative Works,Allocated,,1,No,,Semantic Prefix,1,IMDb,,IMDB Title ID,IMDB Data Key Concepts,1990
pid_graph:7EBD4614,,URN:ISRC,URN:ISRC,-UPři.png,Established,Yes,Namespace Unique,Explicit,Centralised,Resolver,Indirect,,International Federation of the Phonographic Industry (IFPI),No,500000000,,Global,international standard code for uniquely identifying sound recordings and music video recordings,Generic,Creative Works,Allocated,,1,No,,No Prefix,2,International Federation of the Phonographic Industry (IFPI),,International Standard Recording Codes,ISO 3901 - ISRC Standard,1989
pid_graph:52EBCE9D,,URN:ISBN,URN:ISBN,-UPRi.png,Established,Yes,Namespace Unique,Explicit,Centralised,Resolver,Direct,Yes,International ISBN Agency,No,300000000,"[""Czechia"", ""Finland""]",Global,The International Standard Book Number (ISBN) is for identifying printed books.,Generic,Publications,Allocated,"CZE,FIN",1,"No,Yes",,No Prefix,8,International ISBN Agency,2,International Standard Book Number,ISO 2108:2017,1970
pid_graph:C2989F23,,URN:OID,URN:OID,-UPRi.png,Established,Yes,Namespace Unique,Explicit,Decentralised,Resolver,Direct,,International Organisation for Standardization (ITU),No,1000000000,"[""Netherlands""]",Global,"OIDs provide a persistent identification of objects based on a hierarchical structure of Registration Authorities (RA), where each parent has an object identifier and allocates object identifiers to child nodes.",Generic,Samples,Allocated,NLD,1,Yes,,No Prefix,1,International Organisation for Standardization (ISO) and ITU-T,1,ITU-T Recommendation X.660,ISO/IEC 9834-1,1997
pid_graph:8A464A0E,,ISLRN,ISLRN,-UpRi.png,Emerging,Yes,Namespace Unique,"Implicit,Yes",Centralised,Resolver,Direct,Yes,International Standard Language Resource Number Agency,No,10000,,Global,"The International Standard Language Resource Number (ISLRN) is a new, unique and universal identification schema for Language Resources which provides Language Resources with unique names using a standardized nomenclature. It also ensures Language Resources are identified, and consequently recognized with proper references in activities within Human Language Technologies, as well as in documents and scientific papers.",Humanities,Language Resources,Allocated,,1,Yes,,No Prefix,1,International Standard Language Resource Number Agency,,International Standard Language Resource Number,ISLRN Standard,2013
