"Serial","lodIDN","Facets"
"1","pid_graph:109F4044","{""id"": ""pid_graph:109F4044"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": ""20000000"", ""GUPRI"": ""-üṕRi.png"", ""Label"": ""ScopusAuthorID"", ""Entity"": null, ""Scheme"": ""Scopus Author ID Scheme"", ""Status"": ""Established"", ""Unique"": ""Locally Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""Scopus"", ""Standard"": ""Scopus Author ID Standard"", ""Authority"": ""Scopus"", ""Countries"": null, ""Identifier"": ""ScopusAuthorID"", ""Persistent"": ""Yes,Implicit"", ""Resolvable"": ""Direct"", ""Start Date"": ""2004"", ""Description"": ""Identifier for an author assigned in Scopus bibliographic database"", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": null, ""Namespace Type"": ""No Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:10C00601","{""id"": ""pid_graph:10C00601"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": ""500000"", ""GUPRI"": ""-üṕRi.png"", ""Label"": ""GDS ID"", ""Entity"": null, ""Scheme"": ""GDS Scheme"", ""Status"": ""Established"", ""Unique"": ""Locally Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""National Center for Biotechnology Information (NCBI)"", ""Standard"": ""GDS ID Standard"", ""Authority"": ""NCBI"", ""Countries"": null, ""Identifier"": ""GDS ID"", ""Persistent"": ""Implicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": ""2000"", ""Description"": ""This database stores curated gene expression DataSets, as well as original Series and Platform records in the Gene Expression Omnibus (GEO) repository. Enter search terms to locate experiments of interest. DataSet records contain additional resources including cluster tools and differential expression queries."", ""Availability"": ""No"", ""Disciplinary"": ""Life Sciences"", ""MetaResovers"": null, ""Namespace Type"": ""Static Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:152D5274","{""id"": ""pid_graph:152D5274"", ""API"": ""Yes"", ""ISO"": ""AUS,CAN,CZE,DEU,FIN,GBR,KOR,NLD,NZL"", ""MPA"": null, ""Count"": ""7815364"", ""GUPRI"": ""-UPRi.png"", ""Label"": ""ORCID"", ""Entity"": ""Researcher,Person"", ""Scheme"": ""International Standard Name Identifier"", ""Status"": ""Established"", ""Unique"": ""Namespace Unique"", ""Coverage"": ""Global"", ""Managers"": ""1402"", ""Provider"": ""ORCID"", ""Standard"": ""ISO 27729:2012"", ""Authority"": ""ORCID, Inc."", ""Countries"": ""[\""Australia\"", \""Canada\"", \""Czechia\"", \""Germany\"", \""Finland\"", \""UK\"", \""Korea\"", \""Netherlands\"", \""New Zealand\""]"", ""Identifier"": ""ORCID"", ""Persistent"": ""Explicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": ""2009"", ""Description"": ""ORCID (Open Researcher and Contributor ID) is an open, non-profit, community-based effort to create and maintain a registry of unique identifiers for individual researchers. ORCID records hold non-sensitive information such as name, email, organization name, and research activities."", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": ""Yes"", ""Namespace Type"": ""No Prefix"", ""Recommended By"": ""9"", ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:152D52741","{""id"": ""pid_graph:152D52741"", ""API"": null, ""ISO"": ""FIN"", ""MPA"": null, ""Count"": ""100000"", ""GUPRI"": null, ""Label"": ""PIC"", ""Entity"": ""Organisations"", ""Scheme"": ""PIC Scheme"", ""Status"": ""Established"", ""Unique"": null, ""Coverage"": ""European Union"", ""Managers"": ""1"", ""Provider"": ""European Commission"", ""Standard"": ""PIC Standard"", ""Authority"": ""European Commission"", ""Countries"": ""[\""Finland\""]"", ""Identifier"": ""PIC"", ""Persistent"": ""Yes"", ""Resolvable"": null, ""Start Date"": ""2013"", ""Description"": ""The PIC is a unique identifier for your organisation that is used to track and manage participants in EU-funded programs, projects, and initiatives"", ""Availability"": null, ""Disciplinary"": ""Generic"", ""MetaResovers"": null, ""Namespace Type"": null, ""Recommended By"": ""1"", ""Globally Unique"": ""No"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""No resolver"", ""Number of Resolvers"": null, ""Resolution Topology"": null}"
"1","pid_graph:152D52742","{""id"": ""pid_graph:152D52742"", ""API"": null, ""ISO"": null, ""MPA"": null, ""Count"": ""10000"", ""GUPRI"": null, ""Label"": ""PIDINST"", ""Entity"": null, ""Scheme"": ""Handle System"", ""Status"": ""Emerging"", ""Unique"": null, ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""B2INST"", ""Standard"": ""Handle System Protocol (ver 2.1) Specification"", ""Authority"": ""DONA"", ""Countries"": null, ""Identifier"": ""PIDINST"", ""Persistent"": ""Yes"", ""Resolvable"": null, ""Start Date"": ""2023"", ""Description"": null, ""Availability"": null, ""Disciplinary"": ""Generic"", ""MetaResovers"": null, ""Namespace Type"": null, ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": null, ""Resolution Topology"": null}"
"1","pid_graph:15BEDB40","{""id"": ""pid_graph:15BEDB40"", ""API"": ""Yes"", ""ISO"": ""NLD"", ""MPA"": null, ""Count"": ""8200000000"", ""GUPRI"": ""GUPRi.png"", ""Label"": ""ARK"", ""Entity"": ""Research Outputs,Samples"", ""Scheme"": ""ARK Scheme"", ""Status"": ""Established"", ""Unique"": ""Globally Unique"", ""Coverage"": ""Global"", ""Managers"": ""1359"", ""Provider"": ""ARK Alliance"", ""Standard"": ""Internal ARK Alliance Standard"", ""Authority"": ""ARK Alliance Technical Working Group"", ""Countries"": ""[\""Netherlands\""]"", ""Identifier"": ""ARK"", ""Persistent"": ""Explicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": ""2001"", ""Description"": ""Multi-purpose persistent identifier for information objects of any type. Archival Resource Keys (ARKs) serve as persistent identifiers, or stable, trusted references for information objects. Among other things, they aim to be web addresses (URLs) that don’t return 404 Page Not Found errors. The ARK Alliance is an open global community supporting the ARK infrastructure on behalf of research and scholarship. End users, especially researchers, rely on ARKs for long term access to the global scientific and cultural record. Since 2001 some 8.2 billion ARKs have been created by over 1000 organizations — libraries, data centers, archives, museums, publishers, government agencies, and vendors. They identify anything digital, physical, or abstract. ARKs are open, mainstream, non-paywalled, decentralized persistent identifiers that can be created by an organization as soon as it is registered with a NAAN (Name Assigning Authority Number). Once registered, an ARK organization can create unlimited numbers of ARKs and publicize them via the n2t.net global resolver or via their own local resolver."", ""Availability"": ""Yes"", ""Disciplinary"": ""Generic"", ""MetaResovers"": ""Yes"", ""Namespace Type"": ""Semantic Prefix"", ""Recommended By"": ""1"", ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""2"", ""Resolution Topology"": ""Distributed""}"
"1","pid_graph:187B413B","{""id"": ""pid_graph:187B413B"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": ""100000"", ""GUPRI"": ""-üPRi.png"", ""Label"": ""PSSM-ID"", ""Entity"": null, ""Scheme"": ""PSSM Scheme"", ""Status"": ""Established"", ""Unique"": ""Locally Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""National Center for Biotechnology Information (NCBI)"", ""Standard"": ""PSSM ID Standard"", ""Authority"": ""NCBI"", ""Countries"": null, ""Identifier"": ""PSSM-ID"", ""Persistent"": ""No,Explicit"", ""Resolvable"": ""Direct"", ""Start Date"": ""2003"", ""Description"": ""CDD is a protein annotation resource that consists of a collection of well-annotated multiple sequence alignment models for ancient domains and full-length proteins."", ""Availability"": ""No"", ""Disciplinary"": ""Life Sciences"", ""MetaResovers"": null, ""Namespace Type"": ""No Prefix"", ""Recommended By"": null, ""Globally Unique"": ""No"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""No resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:1A699251","{""id"": ""pid_graph:1A699251"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": ""300000"", ""GUPRI"": null, ""Label"": null, ""Entity"": null, ""Scheme"": null, ""Status"": ""Established"", ""Unique"": null, ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": null, ""Standard"": null, ""Authority"": null, ""Countries"": null, ""Identifier"": null, ""Persistent"": ""Yes"", ""Resolvable"": null, ""Start Date"": ""2013"", ""Description"": null, ""Availability"": null, ""Disciplinary"": ""Life Sciences"", ""MetaResovers"": ""Yes"", ""Namespace Type"": null, ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": null}"
"1","pid_graph:1D9178F5","{""id"": ""pid_graph:1D9178F5"", ""API"": null, ""ISO"": null, ""MPA"": null, ""Count"": "" "", ""GUPRI"": ""-üṕRi.png"", ""Label"": ""TaxID"", ""Entity"": null, ""Scheme"": ""Taxonomy Database Scheme"", ""Status"": ""Established"", ""Unique"": ""Locally Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""National Center for Biotechnology Information (NCBI)"", ""Standard"": ""TaxID Standard"", ""Authority"": ""NCBI"", ""Countries"": null, ""Identifier"": ""TaxID"", ""Persistent"": ""Yes,Implicit"", ""Resolvable"": ""Direct"", ""Start Date"": ""1991"", ""Description"": ""The Taxonomy Database is a curated classification and nomenclature for all of the organisms in the public sequence databases. This currently represents about 10% of the described species of life on the planet."", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": null, ""Namespace Type"": ""No Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:1F0B6419","{""id"": ""pid_graph:1F0B6419"", ""API"": null, ""ISO"": null, ""MPA"": null, ""Count"": ""100000"", ""GUPRI"": ""-UṕRi.png"", ""Label"": ""RIN"", ""Entity"": null, ""Scheme"": ""Digital Object Identifier"", ""Status"": ""Established"", ""Unique"": ""Namespace Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""protocols.io"", ""Standard"": ""ISO 26324:2022"", ""Authority"": ""protocols.io"", ""Countries"": null, ""Identifier"": ""RIN"", ""Persistent"": ""Implicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": null, ""Description"": ""A commercial protocol sharing tool, which allows scientists to check in protocols the way that computer scientists check in code"", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": null, ""Namespace Type"": ""Static Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:208E9775","{""id"": ""pid_graph:208E9775"", ""API"": null, ""ISO"": null, ""MPA"": null, ""Count"": "" "", ""GUPRI"": null, ""Label"": ""URL"", ""Entity"": null, ""Scheme"": ""Uniform Resource Locator"", ""Status"": ""Established"", ""Unique"": null, ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""Decentralised"", ""Standard"": ""RFC 2396: Uniform Resource Identifiers (URI): Generic Syntax"", ""Authority"": ""Bitzi,Internet Corporation for Assigned Names and Numbers (ICANN),W3C DID Working Group,Decentralised,World Wide Web Consortium (W3C)"", ""Countries"": null, ""Identifier"": ""URL"", ""Persistent"": ""No"", ""Resolvable"": null, ""Start Date"": ""1994"", ""Description"": ""A uniform resource locator (URL), colloquially known as an address on the Web, is a reference to a resource that specifies its location on a computer network and a mechanism for retrieving it"", ""Availability"": null, ""Disciplinary"": ""Generic"", ""MetaResovers"": null, ""Namespace Type"": null, ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""URL"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": null, ""Resolution Topology"": null}"
"1","pid_graph:22104FE0","{""id"": ""pid_graph:22104FE0"", ""API"": null, ""ISO"": null, ""MPA"": null, ""Count"": ""50000000"", ""GUPRI"": ""-üPRi.png"", ""Label"": ""SRA ID\t"", ""Entity"": null, ""Scheme"": ""SRA Scheme"", ""Status"": ""Established"", ""Unique"": ""Locally Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""National Center for Biotechnology Information (NCBI)"", ""Standard"": ""SRA Scheme Internal Standard"", ""Authority"": ""NCBI"", ""Countries"": null, ""Identifier"": ""SRA ID\t"", ""Persistent"": ""Explicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": ""2007"", ""Description"": ""Sequence Read Archive (SRA) data, available through multiple cloud providers and NCBI servers, is the largest publicly available repository of high throughput sequencing data. The archive accepts data from all branches of life as well as metagenomic and environmental surveys. SRA stores raw sequencing data and alignment information to enhance reproducibility and facilitate new discoveries through data analysis."", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": null, ""Namespace Type"": ""Static Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:27D128A4","{""id"": ""pid_graph:27D128A4"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": ""100000000"", ""GUPRI"": ""-üPRi.png"", ""Label"": ""CID"", ""Entity"": null, ""Scheme"": ""PubChem CID Scheme"", ""Status"": ""Established"", ""Unique"": ""Locally Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""National Center for Biotechnology Information (NCBI)"", ""Standard"": ""NCBI Internal Standard - CID"", ""Authority"": ""NCBI"", ""Countries"": null, ""Identifier"": ""CID"", ""Persistent"": ""Explicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": ""2004"", ""Description"": ""PubChem Compound records are derived summaries that give users access to a rich set of related content. Compound records contain unique chemical structures extracted from contributed Substance records through a process called ‘standardization’. Each Compound record points to at least one Substance record."", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": null, ""Namespace Type"": ""No Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:28C3BEE8","{""id"": ""pid_graph:28C3BEE8"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": null, ""GUPRI"": null, ""Label"": null, ""Entity"": null, ""Scheme"": null, ""Status"": null, ""Unique"": null, ""Coverage"": null, ""Managers"": ""1"", ""Provider"": null, ""Standard"": null, ""Authority"": null, ""Countries"": null, ""Identifier"": null, ""Persistent"": null, ""Resolvable"": null, ""Start Date"": null, ""Description"": null, ""Availability"": null, ""Disciplinary"": null, ""MetaResovers"": ""Yes"", ""Namespace Type"": null, ""Recommended By"": null, ""Globally Unique"": null, ""Identifier Type"": null, ""Resolution Type"": null, ""Number of Resolvers"": ""1"", ""Resolution Topology"": null}"
